question_text,option_a,option_b,option_c,option_d,correct_option,explanation
"يبدأ الدرس الأول في المدرسة الساعة 7:30 صباحًا، ويستمر لمدة 40 دقيقة. في أي ساعة ينتهي الدرس؟","7:50","8:00","8:10","8:20",C,"7:30 + 40 دقيقة: أولًا نضيف 30 دقيقة فنصل إلى 8:00، ثم نضيف الـ10 دقائق المتبقية فنصل إلى 8:10."
"اشترت سارة دفترًا ثمنه 12 ريالًا، ودفعت للبائع ورقتين من فئة 10 ريالات. كم ريالًا سيعيد البائع إليها؟","6 ريالات","7 ريالات","8 ريالات","9 ريالات",C,"دفعت سارة 10+10=20 ريالًا، وثمن الدفتر 12 ريالًا، فالباقي = 20-12 = 8 ريالات."
"لدى منى ونورة أربع حقائب، كُتب على كل واحدة عدد مكوّن من أربعة أرقام: 3462، 6234، 4326، 2643. اختارت منى الحقيبة ذات العدد الأكبر، واختارت نورة الحقيبة ذات العدد الأصغر. فما هما الحقيبتان اللتان اختارتاهما؟","6234 و 2643","4326 و 3462","3462 و 2643","6234 و 4326",A,"بمقارنة الأعداد الأربعة نجد أن أكبرها هو 6234 وأصغرها هو 2643، فاختارت منى 6234 واختارت نورة 2643."
"في الشكل أدناه ثلاث مجموعات: كل مجموعة تتكون من عددين علويين وعدد سفلي يساوي ناتج جمعهما. المجموعة الأولى: 8 و5 وناتج جمعهما 13. المجموعة الثانية: 9 و6 وناتج جمعهما 15. المجموعة الثالثة: 7 وعدد مجهول، وناتج جمعهما 12. ما العدد المجهول الذي يحل محل علامة الاستفهام؟","4","5","6","7",B,"بما أن ناتج الجمع في المجموعة الثالثة يجب أن يساوي 12، فإن العدد المجهول = 12 - 7 = 5."
"يوضح الشكل صفًّا من 8 نجوم متجاورة، منها 5 نجوم ملوّنة باللون الأزرق والباقي بلا لون. أي الأوصاف التالية لخط الأعداد (من 0 إلى 1) يمثل بدقة كسر عدد النجوم الملوّنة من إجمالي عدد النجوم؟","نقطة تقع عند 3/8 من المسافة بين 0 و1","نقطة تقع عند 5/8 من المسافة بين 0 و1","نقطة تقع عند 8/8 من المسافة بين 0 و1","نقطة تقع عند 1/8 من المسافة بين 0 و1",B,"عدد النجوم الملوّنة 5 من أصل 8 نجوم، أي الكسر 5/8، لذلك تقع النقطة عند 5/8 من المسافة بين 0 و1."
"يتكرر نمط الأشكال التالي بثلاث مجموعات: المجموعة الأولى (مربع صغير، دائرة صغيرة، دائرة كبيرة، دائرة صغيرة، مربع صغير)، والمجموعة الثانية (مثلث صغير، مربع صغير، مربع كبير، مربع صغير، مثلث صغير)، والمجموعة الثالثة (نجمة صغيرة، مثلث صغير، [فراغ]، مثلث صغير، نجمة صغيرة). ما الشكل الذي يحل محل الفراغ ليكتمل النمط؟","نجمة كبيرة","مثلث كبير","مربع كبير","دائرة كبيرة",B,"في كل مجموعة يكون الشكل الأوسط هو نفس الشكل المحيط به لكن بحجم أكبر، وبما أن الشكل المحيط في المجموعة الثالثة هو المثلث، فإن الشكل الأوسط يجب أن يكون مثلثًا كبيرًا."
"رسم أحمد شكلًا هندسيًا له قاعدة دائرية واحدة، وسطح جانبي منحنٍ، ورأس واحد فقط، وليس له أي حرف مستقيم. أي شكل مما يلي رسمه أحمد؟","الهرم","المخروط","المكعب","الأسطوانة",B,"المخروط له قاعدة دائرية واحدة، وسطح جانبي منحنٍ يلتقي عند رأس واحد، وهذا يطابق وصف الشكل الذي رسمه أحمد."
"كان لدى عمر 18 قلمًا، احتفظ بثلاثة أقلام لنفسه، ثم وزّع الباقي بالتساوي على 5 من أصدقائه. كم قلمًا أخذ كل صديق؟","2","3","4","5",B,"الأقلام المتبقية = 18 - 3 = 15 قلمًا، وبتوزيعها بالتساوي على 5 أصدقاء: 15 ÷ 5 = 3 أقلام لكل صديق."
"في الشكل أدناه مستطيلان مرسومان على شبكة مربعات: المستطيل (1) طوله 6 وحدات وعرضه 2 وحدة، والمستطيل (2) طوله 4 وحدات وعرضه 3 وحدات. أي العبارات التالية صحيحة بخصوص المستطيلين؟","لهما المحيط نفسه","لهما المساحة نفسها","مساحة المستطيل (1) أكبر من مساحة المستطيل (2)","مساحة المستطيل (2) أكبر من مساحة المستطيل (1)",B,"مساحة المستطيل (1) = 6×2 = 12 وحدة مربعة، ومساحة المستطيل (2) = 4×3 = 12 وحدة مربعة، فالمساحتان متساويتان."
"إذا كانت مدة حصة العلوم 45 دقيقة، وبدأت الحصة في الساعة 10:15، فإن الحصة تنتهي عند الساعة:","10:45","11:00","10:60","11:15",B,"10:15 + 45 دقيقة = 11:00، لأن إضافة 45 دقيقة إلى 15 دقيقة تعطي 60 دقيقة، أي ساعة كاملة إضافية."
"يوضح جدول أدناه عدد الكتب التي باعها متجر خلال ثلاثة أيام باستخدام رمز يمثل كل رمز فيه 10 كتب: يوم الاثنين 4 رموز، يوم الثلاثاء 3 رموز، يوم الأربعاء 5 رموز. كم كتابًا باع المتجر يوم الأربعاء؟","40 كتابًا","50 كتابًا","60 كتابًا","30 كتابًا",B,"كل رمز يمثل 10 كتب، ويوم الأربعاء يوجد 5 رموز، إذن عدد الكتب = 5 × 10 = 50 كتابًا."
"يوضح الرسم البياني أدناه أعداد أنواع من الفاكهة في سلة الأسرة على محور رأسي يبدأ من 10 وينتهي عند 70: التفاح 40، الموز 55، البرتقال 25، العنب 60. أي أنواع الفاكهة عدده أقل من غيره؟","التفاح","الموز","البرتقال","العنب",C,"بمقارنة الأعمدة في الرسم البياني، نجد أن عمود البرتقال هو الأقصر (25)، أي أن عدد حبات البرتقال هو الأقل بين جميع الأنواع."
"جمعت ريم وهند طوابع بريدية: عند ريم 145 طابعًا، وعند هند 128 طابعًا. ما الفرق بين عدد طوابع ريم وعدد طوابع هند؟","15","17","19","23",B,"الفرق = 145 - 128 = 17 طابعًا."
"في صف مدرسي 6 طاولات: 4 طاولات على كل منها 3 كتب، وطاولتان على كل منها كتابان. أي العبارات العددية التالية تمثل العدد الكلي للكتب على الطاولات؟","6 × 3","(4 × 3) + (2 × 2)","(4 × 2) + (2 × 3)","(4 + 2) × (3 + 2)",B,"عدد كتب الطاولات الأربع = 4×3 = 12 كتابًا، وعدد كتب الطاولتين = 2×2 = 4 كتب، والمجموع = 12+4 = 16 كتابًا، وهذا ما تمثله العبارة (4×3)+(2×2)."
"رسم فارس شكل شراع مثلث على شبكة مربعات، طول قاعدته 6 وحدات وارتفاعه 4 وحدات. ما مساحة الشراع بالوحدات المربعة؟","10","12","24","20",B,"مساحة المثلث = (القاعدة × الارتفاع) ÷ 2 = (6 × 4) ÷ 2 = 24 ÷ 2 = 12 وحدة مربعة."
"ما العدد المفقود الذي يكمل الجملة العددية التالية: 263 + ___ = 485؟","222","232","212","242",A,"العدد المفقود = 485 - 263 = 222."
